"id","question_id","question_number","category","difficulty","domain","question_text","options","correct_answer","explanation","explanation_details","multiple_answers"
11,111,11,"AWS Security - Advanced Threats","Expert","Design Secure Applications","A company's web application experiences DDoS attacks and SQL injection attempts. They need comprehensive protection that automatically adapts to new attack patterns. The solution must integrate with CloudFront and ALB. Which combination provides the MOST comprehensive protection?","[{""text"": ""A) AWS Shield Standard + CloudFront + Security Groups"", ""isCorrect"": false}, {""text"": ""B) AWS Shield Advanced + AWS WAF + AWS Firewall Manager"", ""isCorrect"": true}, {""text"": ""C) AWS Shield Standard + AWS WAF + VPC Flow Logs"", ""isCorrect"": false}, {""text"": ""D) Network ACLs + AWS Inspector + CloudWatch"", ""isCorrect"": false}]","B) AWS Shield Advanced + AWS WAF + AWS Firewall Manager","Shield Advanced provides enhanced DDoS protection, WAF blocks application-layer attacks, and Firewall Manager centrally manages security policies across resources.","{""summary"": ""Comprehensive web application protection stack:"", ""breakdown"": [""Shield Advanced: Enhanced DDoS protection with attack response team"", ""WAF: Blocks SQL injection, XSS, and other application attacks"", ""Firewall Manager: Centralized security policy management"", ""Auto-adaptation: Machine learning capabilities for new threats""], ""otherOptions"": ""A) Shield Standard insufficient for advanced DDoS\nC) VPC Flow Logs don't provide active protection\nD) Inspector scans instances, doesn't provide runtime protection""}",NULL
12,112,12,"AWS Cost Optimization - Instance Selection","Application","Design Cost-Optimized Architectures","A batch processing workload runs predictably every night from 2 AM to 6 AM for data analytics. The workload can tolerate interruptions and can resume from checkpoints. Current costs using On-Demand instances are $500/month. Which pricing model combination provides the MAXIMUM cost savings?","[{""text"": ""A) Reserved Instances for consistent baseline capacity"", ""isCorrect"": false}, {""text"": ""B) Spot Instances with Auto Scaling groups across multiple AZs"", ""isCorrect"": true}, {""text"": ""C) Savings Plans for compute usage commitment"", ""isCorrect"": false}, {""text"": ""D) Dedicated Hosts for workload isolation"", ""isCorrect"": false}]","B) Spot Instances with Auto Scaling groups across multiple AZs","Spot Instances can provide up to 90% savings for fault-tolerant batch workloads, and multiple AZs reduce interruption risk.","{""summary"": ""Spot Instances optimal for batch processing:"", ""breakdown"": [""Up to 90% cost savings vs On-Demand"", ""Workload tolerates interruptions (checkpoint resume)"", ""Predictable 4-hour window reduces interruption risk"", ""Multiple AZs provide capacity diversification""], ""otherOptions"": ""A) Reserved Instances only ~75% savings, overkill for 4-hour workload\nC) Savings Plans better for consistent 24/7 usage\nD) Dedicated Hosts most expensive option""}",NULL
13,113,13,"AWS Cost Optimization - Storage Lifecycle","Application","Design Cost-Optimized Architectures","A company stores application logs in S3. Logs are actively analyzed for 30 days, occasionally accessed for 90 days, and must be retained for 7 years for compliance. Current storage costs are $1000/month in S3 Standard. Which lifecycle policy provides the BEST cost optimization?","[{""text"": ""A) Transition to S3 IA after 30 days, then S3 Glacier after 90 days, then Deep Archive after 1 year"", ""isCorrect"": true}, {""text"": ""B) Keep all data in S3 Standard for quick access when needed"", ""isCorrect"": false}, {""text"": ""C) Move everything to S3 Glacier immediately after upload"", ""isCorrect"": false}, {""text"": ""D) Use S3 Intelligent-Tiering for automatic optimization"", ""isCorrect"": false}]","A) Transition to S3 IA after 30 days, then S3 Glacier after 90 days, then Deep Archive after 1 year","Lifecycle policy matching access patterns: S3 Standard for active use, S3 IA for occasional access, Glacier for long-term retention, Deep Archive for compliance.","{""summary"": ""Optimal lifecycle transitions for log data:"", ""breakdown"": [""Days 1-30: S3 Standard for active analysis"", ""Days 31-90: S3 IA for occasional access (50% savings)"", ""Days 91-365: S3 Glacier for backup (68% savings)"", ""Years 1-7: Deep Archive for compliance (77% savings)""], ""otherOptions"": ""B) Standard storage most expensive for long-term retention\nC) Glacier immediate transition prevents active analysis\nD) Intelligent-Tiering adds overhead for predictable patterns""}",NULL
14,114,14,"AWS Cost Optimization - Database Costs","Expert","Design Cost-Optimized Architectures","A startup's MySQL database experiences unpredictable traffic patterns ranging from 5% to 95% CPU utilization throughout the day. Current RDS costs are $800/month with frequent over-provisioning during low-traffic periods. Which solution provides the BEST cost optimization while maintaining performance?","[{""text"": ""A) Migrate to Aurora Serverless v2 with automatic scaling"", ""isCorrect"": true}, {""text"": ""B) Use RDS with scheduled Auto Scaling based on time patterns"", ""isCorrect"": false}, {""text"": ""C) Switch to smaller RDS instance and add read replicas"", ""isCorrect"": false}, {""text"": ""D) Migrate to DynamoDB with on-demand billing"", ""isCorrect"": false}]","A) Migrate to Aurora Serverless v2 with automatic scaling","Aurora Serverless v2 automatically scales compute capacity based on actual demand, eliminating over-provisioning costs during low-traffic periods.","{""summary"": ""Aurora Serverless v2 benefits for variable workloads:"", ""breakdown"": [""Automatic scaling from 0.5 to 128 ACUs based on demand"", ""Pay only for actual compute used (per-second billing)"", ""No over-provisioning during low-traffic periods"", ""MySQL compatibility maintains application compatibility""], ""otherOptions"": ""B) Scheduled scaling can't handle unpredictable patterns\nC) Smaller instance may cause performance issues during peaks\nD) DynamoDB requires application rewrite from MySQL""}",NULL
15,115,15,"AWS Cost Optimization - Data Transfer","Application","Design Cost-Optimized Architectures","A company transfers 100TB of data monthly from EC2 instances to users worldwide. Current data transfer costs are $9,000/month. The data consists of software downloads that rarely change. Which solution provides the MOST significant cost reduction?","[{""text"": ""A) Use VPC endpoints to reduce data transfer charges"", ""isCorrect"": false}, {""text"": ""B) Implement CloudFront CDN with S3 origin"", ""isCorrect"": true}, {""text"": ""C) Move EC2 instances to regions with lower data transfer costs"", ""isCorrect"": false}, {""text"": ""D) Compress all data before transmission"", ""isCorrect"": false}]","B) Implement CloudFront CDN with S3 origin","CloudFront eliminates most internet data transfer charges and caches static content globally, dramatically reducing costs for software downloads.","{""summary"": ""CloudFront cost optimization for static content:"", ""breakdown"": [""No data transfer charges between S3 and CloudFront"", ""Reduced CloudFront to internet rates vs EC2 to internet"", ""Caching reduces origin data transfer for repeated downloads"", ""Global edge locations improve performance and reduce costs""], ""otherOptions"": ""A) VPC endpoints help AWS service costs, not internet transfer\nC) Regional pricing differences minimal for internet transfer\nD) Compression helps but doesn't address core transfer costs""}",NULL
16,116,16,"AWS Architecture - Decoupling","Application","Design Resilient Architectures","A photo processing application receives images via API, processes them, and stores results. During peak times, the processing queue becomes backlogged and API requests start failing. Which decoupling strategy provides the BEST resilience?","[{""text"": ""A) Increase EC2 instance size for faster processing"", ""isCorrect"": false}, {""text"": ""B) Use SQS queue between API and processing with Auto Scaling based on queue depth"", ""isCorrect"": true}, {""text"": ""C) Add more API Gateway throttling to reduce incoming requests"", ""isCorrect"": false}, {""text"": ""D) Use Lambda functions instead of EC2 for processing"", ""isCorrect"": false}]","B) Use SQS queue between API and processing with Auto Scaling based on queue depth","SQS decouples components allowing the API to accept requests even when processing is slow, with Auto Scaling adding capacity based on queue backlog.","{""summary"": ""SQS decoupling benefits:"", ""breakdown"": [""API remains responsive during processing delays"", ""Queue acts as buffer for variable processing times"", ""Auto Scaling responds to actual demand (queue depth)"", ""No lost requests during traffic spikes""], ""otherOptions"": ""A) Larger instances don't solve architecture coupling\nC) Throttling causes request failures\nD) Lambda has 15-minute timeout limit for processing""}",NULL
17,117,17,"AWS Performance - Auto Scaling","Expert","Design High-Performing Architectures","An application experiences sudden traffic spikes that cause Auto Scaling to launch instances, but by the time instances are ready, traffic has decreased. This causes unnecessary costs. Which scaling strategy provides the BEST optimization?","[{""text"": ""A) Use predictive scaling with machine learning to anticipate traffic patterns"", ""isCorrect"": true}, {""text"": ""B) Decrease Auto Scaling cooldown periods for faster scaling"", ""isCorrect"": false}, {""text"": ""C) Use larger instance types that can handle traffic spikes"", ""isCorrect"": false}, {""text"": ""D) Implement step scaling with smaller scaling increments"", ""isCorrect"": false}]","A) Use predictive scaling with machine learning to anticipate traffic patterns","Predictive scaling uses machine learning to forecast traffic and pre-scale capacity, avoiding the lag time of reactive scaling.","{""summary"": ""Predictive scaling advantages:"", ""breakdown"": [""ML forecasts traffic patterns to pre-scale capacity"", ""Reduces lag time between traffic spike and available capacity"", ""Prevents over-scaling by understanding traffic duration"", ""Works with historical patterns and scheduled events""], ""otherOptions"": ""B) Faster scaling still reactive, doesn't solve core timing issue\nC) Over-provisioning increases costs unnecessarily\nD) Step scaling still reactive to traffic changes""}",NULL
18,118,18,"AWS Security - Secrets Management","Application","Design Secure Applications","A microservices application needs to securely store and rotate database passwords, API keys, and certificates. The solution must integrate with RDS automatic rotation and provide audit trails. Which service combination is MOST appropriate?","[{""text"": ""A) Store secrets in S3 with bucket encryption and versioning"", ""isCorrect"": false}, {""text"": ""B) Use AWS Secrets Manager with CloudTrail logging"", ""isCorrect"": true}, {""text"": ""C) Store secrets in Systems Manager Parameter Store with SecureString"", ""isCorrect"": false}, {""text"": ""D) Use AWS KMS to encrypt secrets stored in DynamoDB"", ""isCorrect"": false}]","B) Use AWS Secrets Manager with CloudTrail logging","Secrets Manager provides automatic rotation for RDS, integration with AWS services, and complete audit trails through CloudTrail.","{""summary"": ""Secrets Manager comprehensive benefits:"", ""breakdown"": [""Automatic rotation for RDS, Redshift, DocumentDB"", ""Native integration with AWS services"", ""Complete audit trail through CloudTrail"", ""Secure retrieval with fine-grained IAM permissions""], ""otherOptions"": ""A) S3 not designed for secrets management\nC) Parameter Store lacks automatic rotation for databases\nD) Custom solution requires building rotation logic""}",NULL
19,119,19,"AWS Architecture - Service Limits","Expert","Design High-Performing Architectures","An application needs to upload files up to 500GB to S3. Users report upload failures and timeouts. The application currently uses single PUT requests. Which solution addresses the root cause of the upload failures?","[{""text"": ""A) Enable S3 Transfer Acceleration for faster uploads"", ""isCorrect"": false}, {""text"": ""B) Implement S3 multipart upload for large files"", ""isCorrect"": true}, {""text"": ""C) Use CloudFront for upload optimization"", ""isCorrect"": false}, {""text"": ""D) Increase application timeout settings"", ""isCorrect"": false}]","B) Implement S3 multipart upload for large files","S3 has a 5GB limit for single PUT operations. Files larger than 5GB require multipart upload, which is recommended for files over 100MB.","{""summary"": ""S3 upload limits and best practices:"", ""breakdown"": [""Single PUT limit: 5GB maximum file size"", ""Multipart upload: Required for files >5GB, recommended >100MB"", ""500GB files: Must use multipart upload"", ""Improves reliability with retry capability per part""], ""otherOptions"": ""A) Transfer Acceleration helps speed, doesn't solve size limit\nC) CloudFront not designed for large file uploads\nD) Timeouts don't solve the 5GB PUT limit""}",NULL
20,120,20,"AWS Architecture - Lambda Limitations","Expert","Design Resilient Architectures","A data processing function needs to run for 20 minutes to process large datasets. The current Lambda function times out after 15 minutes. Which solution provides the BEST architecture for this requirement?","[{""text"": ""A) Increase Lambda timeout to maximum 15 minutes and optimize code"", ""isCorrect"": false}, {""text"": ""B) Break processing into smaller Lambda functions using Step Functions"", ""isCorrect"": true}, {""text"": ""C) Use Lambda with SQS to process data in smaller chunks"", ""isCorrect"": false}, {""text"": ""D) Migrate to ECS Fargate for longer-running tasks"", ""isCorrect"": false}]","B) Break processing into smaller Lambda functions using Step Functions","Lambda has a hard 15-minute timeout limit. Step Functions can orchestrate multiple Lambda functions to handle longer workflows.","{""summary"": ""Lambda timeout limits and solutions:"", ""breakdown"": [""Lambda maximum timeout: 15 minutes (hard limit)"", ""Step Functions: Can orchestrate multi-step workflows"", ""Break down processing: Multiple Lambda functions in sequence"", ""State management: Step Functions handles workflow state""], ""otherOptions"": ""A) 15 minutes is the maximum timeout\nC) SQS helps with async processing but doesn't solve timeout\nD) ECS Fargate valid but Step Functions more serverless-native""}",NULL
21,121,21,"AWS Cost Optimization - Compute Savings","Expert","Design Cost-Optimized Architectures","A company runs a web application with the following pattern: 2 instances minimum 24/7, scales to 10 instances during business hours (9 AM-5 PM weekdays), and spikes to 50 instances during monthly sales (first 3 days). Current monthly On-Demand costs are $15,000. Which purchasing strategy provides MAXIMUM cost savings while maintaining performance?","[{""text"": ""A) All-Upfront Reserved Instances for 10 instances, On-Demand for the rest"", ""isCorrect"": false}, {""text"": ""B) Reserved Instances for 2 instances, Savings Plans for business hours capacity, Spot for sales spikes"", ""isCorrect"": true}, {""text"": ""C) Compute Savings Plans for all capacity needs"", ""isCorrect"": false}, {""text"": ""D) Scheduled Reserved Instances for business hours, On-Demand for spikes"", ""isCorrect"": false}]","B) Reserved Instances for 2 instances, Savings Plans for business hours capacity, Spot for sales spikes","Layered purchasing strategy: RIs for baseline (70% savings), Savings Plans for predictable scaling (66% savings), Spot for spikes (up to 90% savings).","{""summary"": ""Optimal cost strategy for variable workloads:"", ""breakdown"": [""Reserved Instances: 2 baseline instances (24/7) - 70% savings"", ""Savings Plans: 8 additional instances for business hours - 66% savings"", ""Spot Instances: 40 instances for monthly sales - up to 90% savings"", ""Total savings: Approximately 75% reduction from $15,000""], ""otherOptions"": ""A) Over-provisioning RIs for 10 instances wastes money nights/weekends\nC) Savings Plans less discount than RIs for baseline\nD) Scheduled RIs discontinued, wouldn't cover spikes""}",NULL
22,122,22,"AWS Cost Optimization - Data Processing","Application","Design Cost-Optimized Architectures","A data analytics company processes 10TB of log files daily using EMR clusters. Processing takes 4 hours and runs once daily at 2 AM. The current approach uses On-Demand instances costing $8,000/month. Which architecture change provides the BEST cost optimization?","[{""text"": ""A) Migrate to AWS Glue for serverless ETL processing"", ""isCorrect"": false}, {""text"": ""B) Use EMR on Spot Instances with diverse instance types across multiple AZs"", ""isCorrect"": true}, {""text"": ""C) Pre-process data with Lambda before EMR to reduce cluster size"", ""isCorrect"": false}, {""text"": ""D) Use smaller EMR cluster running 24/7 with Reserved Instances"", ""isCorrect"": false}]","B) Use EMR on Spot Instances with diverse instance types across multiple AZs","EMR on Spot Instances can provide 50-80% cost savings for batch processing workloads that can tolerate interruptions.","{""summary"": ""EMR Spot Instance optimization:"", ""breakdown"": [""Spot savings: 50-80% reduction from On-Demand pricing"", ""Instance diversity: Reduces interruption risk"", ""Multiple AZs: Ensures capacity availability"", ""4-hour processing window: Perfect for Spot reliability""], ""otherOptions"": ""A) Glue more expensive for 10TB daily processing\nC) Lambda timeout and cost limitations for TB-scale data\nD) 24/7 cluster wasteful for 4-hour daily job""}",NULL
23,123,23,"AWS Cost Optimization - Storage Optimization","Expert","Design Cost-Optimized Architectures","A media company stores 500TB of video content in S3 Standard. Analytics show: 10% accessed daily (hot), 30% accessed weekly (warm), 60% accessed rarely but unpredictably. Retrieval must complete within 12 hours. Current cost is $11,500/month. Which storage strategy provides optimal cost reduction?","[{""text"": ""A) S3 Intelligent-Tiering for all content with archive configuration"", ""isCorrect"": true}, {""text"": ""B) S3 Standard for hot, S3 IA for warm, S3 Glacier for cold data"", ""isCorrect"": false}, {""text"": ""C) S3 One Zone-IA for all content to reduce costs"", ""isCorrect"": false}, {""text"": ""D) S3 Standard for hot, S3 Glacier Instant Retrieval for all other content"", ""isCorrect"": false}]","A) S3 Intelligent-Tiering for all content with archive configuration","S3 Intelligent-Tiering automatically optimizes storage costs for unpredictable access patterns without retrieval fees, perfect for this use case.","{""summary"": ""Intelligent-Tiering benefits for unpredictable access:"", ""breakdown"": [""Automatic tiering: No manual lifecycle policies needed"", ""No retrieval fees: Critical for unpredictable access"", ""Archive configuration: Moves rarely accessed objects to archive tiers"", ""Cost savings: Up to 70% reduction while maintaining performance""], ""otherOptions"": ""B) Manual lifecycle rules don't handle unpredictable access well\nC) One Zone-IA risky for 500TB of valuable content\nD) Glacier Instant Retrieval has retrieval fees for 60% of content""}",NULL
