"id","question_id","question_number","category","difficulty","domain","question_text","options","correct_answer","explanation","explanation_details","multiple_answers","correct_answers"
11,11,11,"Cloud Architecture - Storage","Comprehension","Cloud Architecture and Design","An application requires high IOPS for database operations and low-level access to storage blocks. Which storage combination is most appropriate?","[{""text"": ""A) Object storage with HDD"", ""isCorrect"": false}, {""text"": ""C) Block storage with SSD"", ""isCorrect"": true}, {""text"": ""D) Object storage with SSD"", ""isCorrect"": false}, {""text"": ""B) File storage with SSD"", ""isCorrect"": false}]","C) Block storage with SSD","Block storage provides low-level access ideal for databases, while SSDs deliver the high IOPS required.","{""summary"": ""Block storage with SSD advantages:"", ""breakdown"": [""Block-level access optimal for database workloads"", ""SSD provides high IOPS and low latency"", ""Direct attachment to compute instances"", ""Suitable for transactional applications""], ""otherOptions"": ""A) Object storage lacks low-level access; HDD has lower IOPS\nB) File storage not optimal for databases\nD) Object storage doesn't provide block-level access""}","0",NULL
12,12,12,"Cloud Architecture - Storage","Application","Cloud Architecture and Design","Your organization needs to store 100TB of archived data that is accessed once per year for compliance purposes. Which storage solution offers the best cost optimization?","[{""text"": ""A) Hot storage tier"", ""isCorrect"": false}, {""text"": ""D) Archive storage tier"", ""isCorrect"": true}, {""text"": ""C) Cold storage tier"", ""isCorrect"": false}, {""text"": ""B) Warm storage tier"", ""isCorrect"": false}]","D) Archive storage tier","Archive storage tier is designed for long-term retention of rarely accessed data with lowest cost.","{""summary"": ""Archive storage characteristics:"", ""breakdown"": [""Lowest cost storage option"", ""Designed for long-term retention"", ""Higher retrieval times and costs"", ""Ideal for compliance and backup data""], ""otherOptions"": ""A) Hot storage too expensive for rarely accessed data\nB) Warm storage still higher cost than needed\nC) Cold storage more expensive than archive""}","0",NULL
13,13,13,"Cloud Architecture - Network Components","Knowledge","Cloud Architecture and Design","Which network component helps reduce latency for global users by caching content at edge locations closest to them?","[{""text"": ""D) Application gateway"", ""isCorrect"": false}, {""text"": ""B) Network load balancer"", ""isCorrect"": false}, {""text"": ""A) Application load balancer"", ""isCorrect"": false}, {""text"": ""C) Content Delivery Network (CDN)"", ""isCorrect"": true}]","C) Content Delivery Network (CDN)","CDNs distribute content across geographically dispersed servers to minimize latency for end users.","{""summary"": ""CDN functionality:"", ""breakdown"": [""Caches static content at edge locations globally"", ""Routes requests to nearest geographic server"", ""Reduces bandwidth usage and server load"", ""Improves website performance and user experience""], ""otherOptions"": ""A) ALB distributes traffic to backend servers\nB) NLB handles network layer traffic\nD) Application gateway provides secure access""}","0",NULL
14,14,14,"Cloud Architecture - Network Components","Comprehension","Cloud Architecture and Design","What is the primary difference between an application load balancer and a network load balancer?","[{""text"": ""A) Application load balancer works at Layer 7, network load balancer at Layer 4"", ""isCorrect"": true}, {""text"": ""C) Application load balancer only works with HTTP, network load balancer with HTTPS"", ""isCorrect"": false}, {""text"": ""B) Network load balancer is more expensive than application load balancer"", ""isCorrect"": false}, {""text"": ""D) Network load balancer provides SSL termination, application load balancer does not"", ""isCorrect"": false}]","A) Application load balancer works at Layer 7, network load balancer at Layer 4","Application load balancers operate at Layer 7 (application layer) while network load balancers operate at Layer 4 (transport layer).","{""summary"": ""Load balancer layer differences:"", ""breakdown"": [""ALB: Layer 7 - can route based on HTTP headers, URLs, cookies"", ""NLB: Layer 4 - routes based on IP protocol data"", ""ALB: Content-based routing capabilities"", ""NLB: Higher performance, lower latency""], ""otherOptions"": ""B) Pricing varies by provider and usage\nC) Both can handle HTTP and HTTPS\nD) Both can provide SSL termination""}","0",NULL
15,15,15,"Cloud Architecture - Network Components","Application","Cloud Architecture and Design","Your web application needs to route traffic based on URL paths (/api/* to API servers, /images/* to image servers). Which load balancer type should you use?","[{""text"": ""C) Classic load balancer"", ""isCorrect"": false}, {""text"": ""A) Network load balancer"", ""isCorrect"": false}, {""text"": ""B) Application load balancer"", ""isCorrect"": true}, {""text"": ""D) Gateway load balancer"", ""isCorrect"": false}]","B) Application load balancer","Application load balancers can route traffic based on URL paths, headers, and other application-layer information.","{""summary"": ""Application load balancer routing capabilities:"", ""breakdown"": [""Path-based routing (/api, /images, etc.)"", ""Header-based routing"", ""Query parameter-based routing"", ""Cookie-based routing""], ""otherOptions"": ""A) Network load balancer routes at Layer 4, cannot inspect URLs\nC) Classic load balancer has limited routing capabilities\nD) Gateway load balancer is for traffic inspection""}","0",NULL
16,16,16,"Cloud Architecture - Disaster Recovery","Knowledge","Cloud Architecture and Design","What does RTO (Recovery Time Objective) represent in disaster recovery planning?","[{""text"": ""D) The frequency of disaster recovery testing"", ""isCorrect"": false}, {""text"": ""B) The maximum acceptable downtime after a disaster"", ""isCorrect"": true}, {""text"": ""C) The cost of implementing disaster recovery"", ""isCorrect"": false}, {""text"": ""A) The amount of data that can be lost during a disaster"", ""isCorrect"": false}]","B) The maximum acceptable downtime after a disaster","RTO defines the maximum acceptable duration within which a system must be restored after a disruption.","{""summary"": ""RTO characteristics:"", ""breakdown"": [""Maximum acceptable downtime duration"", ""Measured in hours, minutes, or seconds"", ""Drives disaster recovery strategy selection"", ""Affects cost and complexity of DR solutions""], ""otherOptions"": ""A) That describes RPO (Recovery Point Objective)\nC) Cost is a factor but not what RTO measures\nD) Testing frequency is separate from RTO""}","0",NULL
17,17,17,"Cloud Architecture - Disaster Recovery","Comprehension","Cloud Architecture and Design","What is the difference between RPO and RTO in disaster recovery?","[{""text"": ""A) RPO is about data loss, RTO is about downtime"", ""isCorrect"": true}, {""text"": ""D) RPO is for applications, RTO is for infrastructure"", ""isCorrect"": false}, {""text"": ""B) RPO is about downtime, RTO is about data loss"", ""isCorrect"": false}, {""text"": ""C) RPO and RTO both measure downtime but in different units"", ""isCorrect"": false}]","A) RPO is about data loss, RTO is about downtime","RPO (Recovery Point Objective) measures acceptable data loss, while RTO (Recovery Time Objective) measures acceptable downtime.","{""summary"": ""RPO vs RTO:"", ""breakdown"": [""RPO: Maximum tolerable data loss (measured in time)"", ""RTO: Maximum tolerable downtime"", ""RPO drives backup frequency requirements"", ""RTO drives disaster recovery strategy selection""], ""otherOptions"": ""B) This reverses the definitions\nC) They measure different aspects of recovery\nD) Both apply to applications and infrastructure""}","0",NULL
18,18,18,"Cloud Architecture - Disaster Recovery","Application","Cloud Architecture and Design","Your organization has an RTO of 2 hours and RPO of 30 minutes for a critical application. Which disaster recovery strategy best meets these requirements?","[{""text"": ""D) Backup and restore only"", ""isCorrect"": false}, {""text"": ""A) Cold site with daily backups"", ""isCorrect"": false}, {""text"": ""C) Hot site with real-time replication"", ""isCorrect"": false}, {""text"": ""B) Warm site with automated failover"", ""isCorrect"": true}]","B) Warm site with automated failover","Warm site provides the right balance of cost and recovery time to meet 2-hour RTO requirements.","{""summary"": ""Warm site characteristics for this scenario:"", ""breakdown"": [""Can achieve 2-hour RTO with quick startup"", ""30-minute RPO achievable with frequent backups"", ""More cost-effective than hot site"", ""Automated failover reduces manual intervention""], ""otherOptions"": ""A) Cold site takes too long for 2-hour RTO\nC) Hot site exceeds requirements and increases cost\nD) Backup/restore cannot meet 2-hour RTO""}","0",NULL
19,19,19,"Cloud Architecture - Multicloud","Application","Cloud Architecture and Design","Your organization wants to avoid vendor lock-in while leveraging best-of-breed services from multiple cloud providers. What strategy should you implement?","[{""text"": ""A) Single cloud deployment with multiple regions"", ""isCorrect"": false}, {""text"": ""D) Private cloud deployment only"", ""isCorrect"": false}, {""text"": ""B) Multicloud tenancy strategy"", ""isCorrect"": true}, {""text"": ""C) Hybrid cloud with on-premises integration"", ""isCorrect"": false}]","B) Multicloud tenancy strategy","Multicloud tenancy allows using services from multiple providers, avoiding vendor lock-in while accessing optimal services.","{""summary"": ""Multicloud tenancy benefits:"", ""breakdown"": [""Avoids dependency on a single cloud provider"", ""Enables selection of best services from each provider"", ""Provides redundancy and improved reliability"", ""Allows cost optimization through competitive pricing""], ""otherOptions"": ""A) Single cloud still creates vendor dependency\nC) Hybrid focuses on on-premises integration\nD) Private cloud limits service options""}","0",NULL
20,20,20,"Cloud Architecture - Multicloud","Comprehension","Cloud Architecture and Design","Which scenario best represents a valid use case for multicloud strategy?","[{""text"": ""C) Using private cloud for all applications"", ""isCorrect"": false}, {""text"": ""B) Using the same cloud provider in multiple regions"", ""isCorrect"": false}, {""text"": ""D) Using on-premises servers with cloud storage"", ""isCorrect"": false}, {""text"": ""A) Using AWS for compute and Azure for AI/ML services"", ""isCorrect"": true}]","A) Using AWS for compute and Azure for AI/ML services","Multicloud involves using different cloud providers for different services based on their strengths.","{""summary"": ""Multicloud strategy benefits:"", ""breakdown"": [""Best-of-breed service selection"", ""Avoid vendor lock-in"", ""Improved negotiating position"", ""Reduced single point of failure risk""], ""otherOptions"": ""B) Multiple regions with same provider is not multicloud\nC) Private cloud only is not multicloud\nD) Hybrid cloud, not multicloud""}","0",NULL
21,21,21,"Deployments - Migration Types","Comprehension","Cloud Deployment","Which migration strategy involves moving applications to the cloud with minimal changes, often called """"lift and shift""""?","[{""text"": ""D) Rebuilding"", ""isCorrect"": false}, {""text"": ""B) Refactoring"", ""isCorrect"": false}, {""text"": ""A) Rehosting"", ""isCorrect"": true}, {""text"": ""C) Rearchitecting"", ""isCorrect"": false}]","A) Rehosting","Rehosting (lift and shift) moves applications to cloud with minimal modification.","{""summary"": ""Rehosting characteristics:"", ""breakdown"": [""Minimal application changes required"", ""Fastest migration approach"", ""Lower initial cost and complexity"", ""May not fully utilize cloud benefits""], ""otherOptions"": ""B) Refactoring modifies applications for cloud\nC) Rearchitecting redesigns for cloud-native\nD) Rebuilding creates new applications""}","0",NULL
22,22,22,"Deployments - Migration Types","Application","Cloud Deployment","Your legacy application needs significant changes to take advantage of cloud-native features like auto-scaling and managed services. Which migration approach is most appropriate?","[{""text"": ""D) Retaining"", ""isCorrect"": false}, {""text"": ""B) Refactoring"", ""isCorrect"": true}, {""text"": ""C) Retiring"", ""isCorrect"": false}, {""text"": ""A) Rehosting"", ""isCorrect"": false}]","B) Refactoring","Refactoring involves modifying applications to take advantage of cloud-native features and services.","{""summary"": ""Refactoring characteristics:"", ""breakdown"": [""Modifies applications for cloud optimization"", ""Enables use of managed services"", ""Improves scalability and performance"", ""Higher effort than rehosting but better ROI""], ""otherOptions"": ""A) Rehosting doesn't modify applications\nC) Retiring eliminates the application\nD) Retaining keeps app on-premises""}","0",NULL
23,23,23,"Deployments - Migration Types","Knowledge","Cloud Deployment","Which migration strategy involves completely redesigning an application to be cloud-native from the ground up?","[{""text"": ""B) Refactoring"", ""isCorrect"": false}, {""text"": ""A) Rehosting"", ""isCorrect"": false}, {""text"": ""C) Rearchitecting"", ""isCorrect"": true}, {""text"": ""D) Replacing"", ""isCorrect"": false}]","C) Rearchitecting","Rearchitecting involves completely redesigning applications to be cloud-native and take full advantage of cloud capabilities.","{""summary"": ""Rearchitecting characteristics:"", ""breakdown"": [""Complete application redesign"", ""Full utilization of cloud-native features"", ""Highest development effort and cost"", ""Maximum long-term benefits and flexibility""], ""otherOptions"": ""A) Rehosting moves with minimal changes\nB) Refactoring makes modifications but not complete redesign\nD) Replacing uses different software""}","0",NULL
24,24,24,"Deployments - Infrastructure as Code","Application","Cloud Deployment","Your team needs to deploy identical environments across development, staging, and production. Which approach ensures consistency and reduces manual errors?","[{""text"": ""C) Copying virtual machine images"", ""isCorrect"": false}, {""text"": ""D) Using different configurations for each environment"", ""isCorrect"": false}, {""text"": ""B) Infrastructure as Code (IaC) templates"", ""isCorrect"": true}, {""text"": ""A) Manual deployment through cloud console"", ""isCorrect"": false}]","B) Infrastructure as Code (IaC) templates","IaC templates ensure consistent, repeatable, and version-controlled infrastructure deployments.","{""summary"": ""IaC benefits for environment consistency:"", ""breakdown"": [""Version-controlled infrastructure definitions"", ""Automated and repeatable deployments"", ""Eliminates configuration drift"", ""Enables testing of infrastructure changes""], ""otherOptions"": ""A) Manual processes are error-prone\nC) VM images don't cover full infrastructure\nD) Different configs create inconsistency""}","0",NULL
25,25,25,"Deployments - Infrastructure as Code","Comprehension","Cloud Deployment","What is the primary benefit of using declarative Infrastructure as Code templates?","[{""text"": ""C) Requires less storage space than imperative code"", ""isCorrect"": false}, {""text"": ""B) Describes desired end state rather than step-by-step instructions"", ""isCorrect"": true}, {""text"": ""D) Works only with specific cloud providers"", ""isCorrect"": false}, {""text"": ""A) Faster execution than imperative scripts"", ""isCorrect"": false}]","B) Describes desired end state rather than step-by-step instructions","Declarative IaC describes the desired end state, allowing the system to determine how to achieve it.","{""summary"": ""Declarative IaC benefits:"", ""breakdown"": [""Describes desired infrastructure state"", ""System determines implementation steps"", ""Idempotent operations (safe to run multiple times)"", ""Easier to understand and maintain""], ""otherOptions"": ""A) Execution speed depends on implementation\nC) Storage size not a primary consideration\nD) Many tools work across multiple providers""}","0",NULL
26,26,26,"Deployments - Infrastructure as Code","Knowledge","Cloud Deployment","Which of the following is a key characteristic of Infrastructure as Code (IaC)?","[{""text"": ""C) Infrastructure changes require physical hardware installation"", ""isCorrect"": false}, {""text"": ""D) Infrastructure is managed by third-party vendors only"", ""isCorrect"": false}, {""text"": ""A) Infrastructure is managed manually through web consoles"", ""isCorrect"": false}, {""text"": ""B) Infrastructure is defined in code and version controlled"", ""isCorrect"": true}]","B) Infrastructure is defined in code and version controlled","IaC treats infrastructure as code that can be version controlled, tested, and deployed programmatically.","{""summary"": ""IaC key characteristics:"", ""breakdown"": [""Infrastructure defined in code files"", ""Version control for infrastructure changes"", ""Automated deployment and provisioning"", ""Repeatable and consistent deployments""], ""otherOptions"": ""A) IaC eliminates manual console management\nC) IaC works with virtual/cloud infrastructure\nD) IaC can be managed by internal teams""}","0",NULL
27,27,27,"Deployments - Deployment Strategies","Application","Cloud Deployment","Your application needs zero-downtime deployment with the ability to quickly rollback if issues occur. Which deployment strategy is most appropriate?","[{""text"": ""A) Blue-green deployment"", ""isCorrect"": true}, {""text"": ""C) Rolling deployment"", ""isCorrect"": false}, {""text"": ""B) In-place deployment"", ""isCorrect"": false}, {""text"": ""D) Recreate deployment"", ""isCorrect"": false}]","A) Blue-green deployment","Blue-green deployment provides zero downtime and instant rollback capabilities by maintaining two identical environments.","{""summary"": ""Blue-green deployment characteristics:"", ""breakdown"": [""Two identical production environments"", ""Instant traffic switching between environments"", ""Zero downtime during deployment"", ""Quick rollback by switching traffic back""], ""otherOptions"": ""B) In-place deployment causes downtime\nC) Rolling deployment has slower rollback\nD) Recreate deployment causes downtime""}","0",NULL
28,28,28,"Deployments - Deployment Strategies","Comprehension","Cloud Deployment","What is the primary advantage of canary deployment strategy?","[{""text"": ""B) Lowest resource requirements"", ""isCorrect"": false}, {""text"": ""A) Fastest deployment method"", ""isCorrect"": false}, {""text"": ""D) Simplest to implement"", ""isCorrect"": false}, {""text"": ""C) Limits impact of issues to small user subset"", ""isCorrect"": true}]","C) Limits impact of issues to small user subset","Canary deployment gradually releases changes to small user groups, limiting the impact of potential issues.","{""summary"": ""Canary deployment benefits:"", ""breakdown"": [""Gradual rollout to subset of users"", ""Early detection of issues with limited impact"", ""Ability to monitor and validate changes"", ""Reduced risk of widespread problems""], ""otherOptions"": ""A) Not the fastest method\nB) Requires additional monitoring infrastructure\nD) More complex than simple deployments""}","0",NULL
29,29,29,"Deployments - Deployment Strategies","Knowledge","Cloud Deployment","In a rolling deployment strategy, how are application instances updated?","[{""text"": ""D) All instances are shut down before updates"", ""isCorrect"": false}, {""text"": ""A) All instances are updated simultaneously"", ""isCorrect"": false}, {""text"": ""B) Instances are updated one at a time or in small batches"", ""isCorrect"": true}, {""text"": ""C) New instances are created while old ones remain"", ""isCorrect"": false}]","B) Instances are updated one at a time or in small batches","Rolling deployment updates instances gradually, one at a time or in small batches, maintaining service availability.","{""summary"": ""Rolling deployment characteristics:"", ""breakdown"": [""Gradual instance updates"", ""Maintains service availability"", ""Lower resource requirements than blue-green"", ""Slower rollback process""], ""otherOptions"": ""A) That describes in-place deployment\nC) That describes blue-green deployment\nD) That would cause service interruption""}","0",NULL
30,30,30,"Deployments - CI/CD","Application","Cloud Deployment","Your development team wants to automatically deploy code changes to production after passing all tests in the staging environment. Which CI/CD practice should be implemented?","[{""text"": ""B) Continuous Delivery only"", ""isCorrect"": false}, {""text"": ""C) Continuous Deployment"", ""isCorrect"": true}, {""text"": ""D) Manual deployment with CI"", ""isCorrect"": false}, {""text"": ""A) Continuous Integration only"", ""isCorrect"": false}]","C) Continuous Deployment","Continuous Deployment automatically releases code changes to production after passing all pipeline stages.","{""summary"": ""Continuous Deployment characteristics:"", ""breakdown"": [""Fully automated pipeline from code to production"", ""No manual intervention required for deployment"", ""Requires robust testing and monitoring"", ""Enables rapid feature delivery to users""], ""otherOptions"": ""A) CI only handles code integration\nB) CD deploys to staging but requires manual production release\nD) Manual deployment contradicts automation goals""}","0",NULL
31,31,31,"Operations - Scaling","Application","Cloud Operations and Support","Your web application experiences predictable traffic spikes every weekday from 9 AM to 5 PM. Which scaling approach would be most cost-effective?","[{""text"": ""C) Manual scaling during business hours"", ""isCorrect"": false}, {""text"": ""D) Keeping maximum capacity running at all times"", ""isCorrect"": false}, {""text"": ""B) Horizontal auto-scaling based on schedule and metrics"", ""isCorrect"": true}, {""text"": ""A) Vertical scaling with larger instances"", ""isCorrect"": false}]","B) Horizontal auto-scaling based on schedule and metrics","Scheduled auto-scaling with metric triggers optimizes both cost and performance for predictable patterns.","{""summary"": ""Auto-scaling advantages for predictable traffic:"", ""breakdown"": [""Proactive scaling before traffic spikes"", ""Automatic scale-down during off-hours"", ""Combines scheduled and reactive scaling"", ""Optimizes cost while maintaining performance""], ""otherOptions"": ""A) Vertical scaling requires downtime\nC) Manual scaling is reactive and error-prone\nD) Maximum capacity wastes money during off-hours""}","0",NULL
32,32,32,"Operations - Scaling","Comprehension","Cloud Operations and Support","What is the primary difference between horizontal and vertical scaling?","[{""text"": ""D) Horizontal works with databases, vertical works with web servers"", ""isCorrect"": false}, {""text"": ""A) Horizontal adds more instances, vertical increases instance size"", ""isCorrect"": true}, {""text"": ""C) Horizontal is automatic, vertical is manual"", ""isCorrect"": false}, {""text"": ""B) Horizontal is cheaper, vertical is more expensive"", ""isCorrect"": false}]","A) Horizontal adds more instances, vertical increases instance size","Horizontal scaling adds more instances (scale out), while vertical scaling increases the capacity of existing instances (scale up).","{""summary"": ""Scaling approach differences:"", ""breakdown"": [""Horizontal: Scale out - add more instances"", ""Vertical: Scale up - increase instance capacity"", ""Horizontal: Better for distributed applications"", ""Vertical: Simpler but has hardware limits""], ""otherOptions"": ""B) Cost depends on specific implementation\nC) Both can be automated\nD) Both work with various application types""}","0",NULL
